origin,location,side,phase_bucket,epv,observations
Kick (Open Play),22m-5m (opp),Centre,2-3,1.2559825893347902,73
Kick (Open Play),22m-5m (opp),Centre,4-6,1.5276350362838462,144
Kick (Open Play),22m-5m (opp),Centre,7+,1.427800377666394,265
Kick (Open Play),22m-5m (opp),Right,1,1.2245749655320028,14
Kick (Open Play),22m-5m (opp),Right,2-3,0.9469975321041197,38
Kick (Open Play),22m-5m (opp),Right,4-6,1.248877745582142,47
Kick (Open Play),22m-5m (opp),Right,7+,1.2928878279086387,69
Kick (Open Play),5m-Goal (opp),Left,1,1.9214877712074514,6
Kick (Open Play),5m-Goal (opp),Left,2-3,0.9953725296161722,3
Kick (Open Play),5m-Goal (opp),Left,4-6,0.6184363810600607,5
Kick (Open Play),5m-Goal (opp),Left,7+,1.4658032730269586,20
Kick (Open Play),5m-Goal (opp),Centre,1,1.6844462240358815,7
Kick (Open Play),5m-Goal (opp),Centre,2-3,1.115177615007906,5
Kick (Open Play),5m-Goal (opp),Centre,4-6,1.4931371705907162,9
Kick (Open Play),5m-Goal (opp),Centre,7+,1.8399576222695264,59
Kick (Open Play),5m-Goal (opp),Right,1,1.4145282699755368,5
Kick (Open Play),5m-Goal (opp),Right,2-3,0.7284808515326582,1
Kick (Open Play),5m-Goal (opp),Right,4-6,1.2933705618410556,4
Kick (Open Play),5m-Goal (opp),Right,7+,1.3948129158534706,17
Turnover Steal,Goal-5m (own),Left,1,0.13594646994926143,30
Turnover Steal,Goal-5m (own),Left,2-3,0.24173056023895556,13
Turnover Steal,Goal-5m (own),Left,4-6,0.45647615461118746,5
Turnover Steal,Goal-5m (own),Left,7+,0.6691255563803326,0
Turnover Steal,Goal-5m (own),Centre,1,0.2339402565399029,40
Turnover Steal,Goal-5m (own),Centre,2-3,0.28682932389756793,13
Turnover Steal,Goal-5m (own),Centre,4-6,0.5715687097977097,2
Turnover Steal,Goal-5m (own),Centre,7+,0.6691255563803329,0
Turnover Steal,Goal-5m (own),Right,1,0.18458470203162966,24
Turnover Steal,Goal-5m (own),Right,2-3,0.3036417882034561,7
Turnover Steal,Goal-5m (own),Right,4-6,0.6624470807703539,0
Turnover Steal,Goal-5m (own),Right,7+,0.6691255563803327,0
Turnover Steal,5m-22m (own),Left,1,0.16951491675284844,94
Turnover Steal,5m-22m (own),Left,2-3,-0.08765594810227036,67
Turnover Steal,5m-22m (own),Left,4-6,0.221613445211519,15
Turnover Steal,5m-22m (own),Left,7+,0.6654339779243595,1
Turnover Steal,5m-22m (own),Centre,1,0.0167813638747773,209
Turnover Steal,5m-22m (own),Centre,2-3,-0.04523516942400653,139
Turnover Steal,5m-22m (own),Centre,4-6,0.4448659080093135,14
Turnover Steal,5m-22m (own),Centre,7+,0.5781537107782042,15
Turnover Steal,5m-22m (own),Right,1,0.0768423871843564,99
Turnover Steal,5m-22m (own),Right,2-3,-0.13471381060037918,67
Turnover Steal,5m-22m (own),Right,4-6,0.5495293075464109,11
Turnover Steal,5m-22m (own),Right,7+,0.9067150630612032,1
Turnover Steal,22m-10m (own),Left,1,0.2647119422200147,132
Turnover Steal,22m-10m (own),Left,2-3,0.18171901742169852,88
Turnover Steal,22m-10m (own),Left,4-6,0.32408484156291734,29
Turnover Steal,22m-10m (own),Left,7+,0.6732919551249403,8
Turnover Steal,22m-10m (own),Centre,1,0.4031997054429889,248
Turnover Steal,22m-10m (own),Centre,2-3,0.13847044693303867,198
Turnover Steal,22m-10m (own),Centre,4-6,0.2756924803887242,76
Turnover Steal,22m-10m (own),Centre,7+,0.6427389134689349,27
Turnover Steal,22m-10m (own),Right,1,0.2787308163366333,100
Turnover Steal,22m-10m (own),Right,2-3,0.20076529764376247,75
Turnover Steal,22m-10m (own),Right,4-6,0.6284566981856253,10
Turnover Steal,22m-10m (own),Right,7+,0.6617075061829817,4
Turnover Steal,10m-Half (own),Left,1,0.4662659031360695,61
Turnover Steal,10m-Half (own),Left,2-3,0.3780003849521366,34
Turnover Steal,10m-Half (own),Left,4-6,0.3431957164194477,21
Turnover Steal,10m-Half (own),Left,7+,0.6602488751677067,4
Turnover Steal,10m-Half (own),Centre,1,0.5403842133696978,152
Turnover Steal,10m-Half (own),Centre,2-3,0.3603419102554702,149
Turnover Steal,10m-Half (own),Centre,4-6,0.36874915238048994,48
Turnover Steal,10m-Half (own),Centre,7+,0.4953344947062077,16
Turnover Steal,10m-Half (own),Right,1,0.3749565182823167,57
Turnover Steal,10m-Half (own),Right,2-3,0.41310341443347254,39
Turnover Steal,10m-Half (own),Right,4-6,0.36195943240620376,12
Turnover Steal,10m-Half (own),Right,7+,0.5887697591502461,3
Turnover Steal,Half-10m (opp),Left,1,0.5362154579187417,43
Turnover Steal,Half-10m (opp),Left,2-3,0.5747392706919403,40
Turnover Steal,Half-10m (opp),Left,4-6,0.668551853909099,22
Turnover Steal,Half-10m (opp),Left,7+,0.6315247229310849,11
Turnover Steal,Half-10m (opp),Centre,1,0.8782631078315248,94
Turnover Steal,Half-10m (opp),Centre,2-3,0.5111058495107507,127
Turnover Steal,Half-10m (opp),Centre,4-6,0.46005416685318895,84
Turnover Steal,Half-10m (opp),Centre,7+,0.5444343961425279,42
Turnover Steal,Half-10m (opp),Right,1,0.44914807095696924,46
Turnover Steal,Half-10m (opp),Right,2-3,0.5408041640877351,48
Turnover Steal,Half-10m (opp),Right,4-6,0.8730158721427359,15
Turnover Steal,Half-10m (opp),Right,7+,0.655103430029556,4
Turnover Steal,10m-22m (opp),Left,1,0.8686096472219387,54
Turnover Steal,10m-22m (opp),Left,2-3,0.7885789909721764,67
Turnover Steal,10m-22m (opp),Left,4-6,1.0147772472732017,45
Turnover Steal,10m-22m (opp),Left,7+,0.7881651545268847,34
Turnover Steal,10m-22m (opp),Centre,1,0.9671585474240357,82
Turnover Steal,10m-22m (opp),Centre,2-3,0.7828629439928975,192
Turnover Steal,10m-22m (opp),Centre,4-6,0.9376399068045421,169
Turnover Steal,10m-22m (opp),Centre,7+,0.9183644884984408,87
Turnover Steal,10m-22m (opp),Right,1,0.7735421833154276,42
Turnover Steal,10m-22m (opp),Right,2-3,0.7687071443201502,62
Turnover Steal,10m-22m (opp),Right,4-6,1.0271308350310129,37
Turnover Steal,10m-22m (opp),Right,7+,0.7254046629688523,11
Turnover Steal,22m-5m (opp),Left,1,0.938211125129119,14
Turnover Steal,22m-5m (opp),Left,2-3,1.2088760968055874,33
Turnover Steal,22m-5m (opp),Left,4-6,1.0777568708981655,16
Turnover Steal,22m-5m (opp),Left,7+,1.0818168852876648,18
Turnover Steal,22m-5m (opp),Centre,1,1.0025279362725241,28
Turnover Steal,22m-5m (opp),Centre,2-3,1.272266648994491,69
Turnover Steal,22m-5m (opp),Centre,4-6,1.2287213405232809,86
Turnover Steal,22m-5m (opp),Centre,7+,1.1099530469213923,95
Turnover Steal,22m-5m (opp),Right,1,0.8665823737229469,20
Turnover Steal,22m-5m (opp),Right,2-3,0.835499123395111,31
Turnover Steal,22m-5m (opp),Right,4-6,0.9829123855772047,25
Turnover Steal,22m-5m (opp),Right,7+,1.1048029977774647,31
Turnover Steal,5m-Goal (opp),Left,1,0.95315927262238,4
Turnover Steal,5m-Goal (opp),Left,2-3,1.0233468711058873,6
Turnover Steal,5m-Goal (opp),Left,4-6,1.0413371262457052,9
Turnover Steal,5m-Goal (opp),Left,7+,1.1733863503925264,14
Turnover Steal,5m-Goal (opp),Centre,1,0.6529644733438849,5
Turnover Steal,5m-Goal (opp),Centre,2-3,1.3190306475382738,12
Turnover Steal,5m-Goal (opp),Centre,4-6,1.0567758600579202,15
Turnover Steal,5m-Goal (opp),Centre,7+,1.6000518463973608,32
Turnover Steal,5m-Goal (opp),Right,1,1.0555418054218013,5
Turnover Steal,5m-Goal (opp),Right,2-3,0.7868384740670663,4
Turnover Steal,5m-Goal (opp),Right,4-6,1.0319045112972645,6
Turnover Steal,5m-Goal (opp),Right,7+,1.2424048162691106,6
Restart Kick,Goal-5m (own),Left,1,0.21131459244750084,7
Restart Kick,Goal-5m (own),Left,2-3,0.584553432292778,0
Restart Kick,Goal-5m (own),Left,4-6,0.6483051100602705,0
Restart Kick,Goal-5m (own),Left,7+,0.6624908429084028,0
Restart Kick,Goal-5m (own),Centre,1,0.22320610279710149,6
Restart Kick,Goal-5m (own),Centre,2-3,0.5845534322927779,0
Restart Kick,Goal-5m (own),Centre,4-6,0.6483051100602708,0
Restart Kick,Goal-5m (own),Centre,7+,0.6624908429084032,0
Restart Kick,Goal-5m (own),Right,1,0.3655451603111943,5
Restart Kick,Goal-5m (own),Right,2-3,0.5096934873085008,1
Restart Kick,Goal-5m (own),Right,4-6,0.6483051100602709,0
Restart Kick,Goal-5m (own),Right,7+,0.6624908429084028,0
Restart Kick,5m-22m (own),Left,1,-0.17625215144949585,407
Restart Kick,5m-22m (own),Left,2-3,-0.2833092048716149,260
Restart Kick,5m-22m (own),Left,4-6,0.2520310161578964,37
Restart Kick,5m-22m (own),Left,7+,0.8645190735856014,2
Restart Kick,5m-22m (own),Centre,1,-0.1229211661607352,140
Restart Kick,5m-22m (own),Centre,2-3,-0.18152461534712958,320
Restart Kick,5m-22m (own),Centre,4-6,0.11899957740564632,51
Restart Kick,5m-22m (own),Centre,7+,0.8506292188002028,9
Restart Kick,5m-22m (own),Right,1,-0.0837491208071974,223
Restart Kick,5m-22m (own),Right,2-3,-0.17474605092387616,155
Restart Kick,5m-22m (own),Right,4-6,0.3480278989685378,12
Restart Kick,5m-22m (own),Right,7+,0.575076996857886,4
Restart Kick,22m-10m (own),Left,1,0.015126316781071228,203
Restart Kick,22m-10m (own),Left,2-3,-0.04660213491322545,229
Restart Kick,22m-10m (own),Left,4-6,0.22440577312912063,52
Restart Kick,22m-10m (own),Left,7+,0.5072207913604191,10
Restart Kick,22m-10m (own),Centre,1,0.1013456090998848,190
Restart Kick,22m-10m (own),Centre,2-3,-0.01701675481954726,332
Restart Kick,22m-10m (own),Centre,4-6,0.14410321698386633,97
Restart Kick,22m-10m (own),Centre,7+,0.722472788611638,18
Restart Kick,22m-10m (own),Right,1,-0.016624373715805177,173
Restart Kick,22m-10m (own),Right,2-3,-0.04757435286478427,182
Restart Kick,22m-10m (own),Right,4-6,0.3384411200594507,31
Restart Kick,22m-10m (own),Right,7+,0.535381041614761,7
Restart Kick,10m-Half (own),Left,1,0.4447207932643527,20
